From Zone,To Zone,Distance (km),Approx. Price (Birr)
Hari Rasu (Zone 5),Central,813,406.5
Hari Rasu (Zone 5),Eastern,484,242
Hari Rasu (Zone 5),North Western,406,203
Hari Rasu (Zone 5),Southern,415,207.5
Hari Rasu (Zone 5),Western,369,184.5
Hari Rasu (Zone 5),South Eastern,404,202
Hari Rasu (Zone 5),Mekelle,949,474.5
Agew Awi,East Gojjam,738,369
Agew Awi,North Gondar,357,178.5
Agew Awi,North Shewa,156,78
Agew Awi,North Wollo,222,111
Agew Awi,Oromia Special Zone,847,423.5
Agew Awi,South Gondar,513,256.5
Agew Awi,South Wollo,778,389
Agew Awi,Wag Hemra,409,204.5
Agew Awi,West Gojjam,226,113
Agew Awi,Assosa,738,369
Agew Awi,Kamashi,317,158.5
Agew Awi,Metekel,141,70.5
Agew Awi,Mao-Komo Special,744,372
Agew Awi,Dire Dawa City Administration,704,352
Agew Awi,Anywaa,434,217
Agew Awi,Majang,767,383.5
Agew Awi,Nuer,51,25.5
Agew Awi,Itang Special,534,267
Agew Awi,Harari Regional State,61,30.5
Agew Awi,Arsi,476,238
Agew Awi,Bale,638,319
Agew Awi,Borena,907,453.5
Agew Awi,Buno Bedele,643,321.5
Agew Awi,East Bale,265,132.5
Agew Awi,East Guji,151,75.5
Agew Awi,East Hararghe,848,424
Agew Awi,East Shewa,924,462
Agew Awi,East Wellega,789,394.5
Agew Awi,Horo Guduru Wellega,939,469.5
Agew Awi,Illubabor,111,55.5
Agew Awi,Jimma,243,121.5
Agew Awi,Kellem Wellega,650,325
Agew Awi,North Shewa,423,211.5
Agew Awi,Southwest Shewa,989,494.5
Agew Awi,West Arsi,99,49.5
Agew Awi,West Guji,624,312
Agew Awi,West Hararghe,388,194
Agew Awi,West Shewa,274,137
Agew Awi,West Wellega,740,370
Agew Awi,Aleta Chuko,953,476.5
Agew Awi,Aleta Wondo,209,104.5
Agew Awi,Aroresa,405,202.5
Agew Awi,Bensa,155,77.5
Agew Awi,Bona,850,425
Agew Awi,Bursa,262,131
Agew Awi,Dale,557,278.5
Agew Awi,Dara,260,130
Agew Awi,Gorche,171,85.5
Agew Awi,Hawassa Zuria,458,229
Agew Awi,Loka Abaya,785,392.5
Agew Awi,Malga,783,391.5
Agew Awi,Shebedino,690,345
Agew Awi,Wondo Genet,656,328
Agew Awi,Wonsho,493,246.5
Agew Awi,Gamo,547,273.5
Agew Awi,Gedeo,713,356.5
Agew Awi,Gofa,673,336.5
Agew Awi,Hadiya,489,244.5
Agew Awi,Halaba,990,495
Agew Awi,Kembata Tembaro,442,221
Agew Awi,Konso,234,117
Agew Awi,Silte,110,55
Agew Awi,South Omo,70,35
Agew Awi,Wolayita,742,371
Agew Awi,Afder,412,206
Agew Awi,Dollo,527,263.5
Agew Awi,Erer,482,241
Agew Awi,Fafan,126,63
Agew Awi,Jarar,868,434
Agew Awi,Korahe,632,316
Agew Awi,Liben,417,208.5
Agew Awi,Nogob,669,334.5
Agew Awi,Shabelle,94,47
Agew Awi,Sitti,995,497.5
Agew Awi,Central,109,54.5
Agew Awi,Eastern,319,159.5
Agew Awi,North Western,433,216.5
Agew Awi,Southern,924,462
Agew Awi,Western,849,424.5
Agew Awi,South Eastern,312,156
Agew Awi,Mekelle,644,322
East Gojjam,North Gondar,150,75
East Gojjam,North Shewa,129,64.5
East Gojjam,North Wollo,160,80
East Gojjam,Oromia Special Zone,871,435.5
East Gojjam,South Gondar,479,239.5
East Gojjam,South Wollo,65,32.5
East Gojjam,Wag Hemra,643,321.5
East Gojjam,West Gojjam,93,46.5
East Gojjam,Assosa,628,314
East Gojjam,Kamashi,961,480.5
East Gojjam,Metekel,619,309.5
East Gojjam,Mao-Komo Special,746,373
East Gojjam,Dire Dawa City Administration,587,293.5
East Gojjam,Anywaa,566,283
East Gojjam,Majang,129,64.5
East Gojjam,Nuer,915,457.5
East Gojjam,Itang Special,375,187.5
East Gojjam,Harari Regional State,620,310
East Gojjam,Arsi,58,29
East Gojjam,Bale,89,44.5
East Gojjam,Borena,419,209.5
East Gojjam,Buno Bedele,858,429
East Gojjam,East Bale,511,255.5
East Gojjam,East Guji,91,45.5
East Gojjam,East Hararghe,616,308
East Gojjam,East Shewa,840,420
East Gojjam,East Wellega,638,319
East Gojjam,Horo Guduru Wellega,998,499
East Gojjam,Illubabor,230,115
East Gojjam,Jimma,432,216
East Gojjam,Kellem Wellega,274,137
East Gojjam,North Shewa,251,125.5
East Gojjam,Southwest Shewa,184,92
East Gojjam,West Arsi,939,469.5
East Gojjam,West Guji,403,201.5
East Gojjam,West Hararghe,984,492
East Gojjam,West Shewa,336,168
East Gojjam,West Wellega,551,275.5
East Gojjam,Aleta Chuko,132,66
East Gojjam,Aleta Wondo,136,68
East Gojjam,Aroresa,681,340.5
East Gojjam,Bensa,600,300
East Gojjam,Bona,988,494
East Gojjam,Bursa,985,492.5
East Gojjam,Dale,496,248
East Gojjam,Dara,337,168.5
East Gojjam,Gorche,222,111
East Gojjam,Hawassa Zuria,62,31
East Gojjam,Loka Abaya,810,405
East Gojjam,Malga,822,411
East Gojjam,Shebedino,433,216.5
East Gojjam,Wondo Genet,999,499.5
East Gojjam,Wonsho,460,230
East Gojjam,Gamo,773,386.5
East Gojjam,Gedeo,466,233
East Gojjam,Gofa,546,273
East Gojjam,Hadiya,117,58.5
East Gojjam,Halaba,991,495.5
East Gojjam,Kembata Tembaro,712,356
East Gojjam,Konso,894,447
East Gojjam,Silte,504,252
East Gojjam,South Omo,304,152
East Gojjam,Wolayita,971,485.5
East Gojjam,Afder,503,251.5
East Gojjam,Dollo,210,105
East Gojjam,Erer,608,304
East Gojjam,Fafan,564,282
East Gojjam,Jarar,506,253
East Gojjam,Korahe,804,402
East Gojjam,Liben,553,276.5
East Gojjam,Nogob,458,229
East Gojjam,Shabelle,723,361.5
East Gojjam,Sitti,738,369
East Gojjam,Central,603,301.5
East Gojjam,Eastern,671,335.5
East Gojjam,North Western,949,474.5
East Gojjam,Southern,607,303.5
East Gojjam,Western,125,62.5
East Gojjam,South Eastern,827,413.5
East Gojjam,Mekelle,114,57
North Gondar,North Shewa,890,445
North Gondar,North Wollo,512,256
North Gondar,Oromia Special Zone,139,69.5
North Gondar,South Gondar,590,295
North Gondar,South Wollo,607,303.5
North Gondar,Wag Hemra,290,145
North Gondar,West Gojjam,480,240
North Gondar,Assosa,541,270.5
North Gondar,Kamashi,379,189.5
North Gondar,Metekel,844,422
North Gondar,Mao-Komo Special,446,223
North Gondar,Dire Dawa City Administration,422,211
North Gondar,Anywaa,888,444
North Gondar,Majang,120,60
North Gondar,Nuer,612,306
North Gondar,Itang Special,687,343.5
North Gondar,Harari Regional State,794,397
North Gondar,Arsi,656,328
North Gondar,Bale,172,86
North Gondar,Borena,643,321.5
North Gondar,Buno Bedele,55,27.5
North Gondar,East Bale,232,116
North Gondar,East Guji,332,166
North Gondar,East Hararghe,657,328.5
North Gondar,East Shewa,814,407
North Gondar,East Wellega,550,275
North Gondar,Horo Guduru Wellega,751,375.5
North Gondar,Illubabor,320,160
North Gondar,Jimma,862,431
North Gondar,Kellem Wellega,640,320
North Gondar,North Shewa,923,461.5
North Gondar,Southwest Shewa,434,217
North Gondar,West Arsi,475,237.5
North Gondar,West Guji,828,414
North Gondar,West Hararghe,980,490
North Gondar,West Shewa,442,221
North Gondar,West Wellega,981,490.5
North Gondar,Aleta Chuko,965,482.5
North Gondar,Aleta Wondo,106,53
North Gondar,Aroresa,568,284
North Gondar,Bensa,710,355
North Gondar,Bona,743,371.5
North Gondar,Bursa,181,90.5
North Gondar,Dale,213,106.5
North Gondar,Dara,848,424
North Gondar,Gorche,130,65
North Gondar,Hawassa Zuria,773,386.5
North Gondar,Loka Abaya,270,135
North Gondar,Malga,960,480
North Gondar,Shebedino,356,178
North Gondar,Wondo Genet,332,166
North Gondar,Wonsho,177,88.5
North Gondar,Gamo,431,215.5
North Gondar,Gedeo,566,283
North Gondar,Gofa,609,304.5
North Gondar,Hadiya,318,159
North Gondar,Halaba,828,414
North Gondar,Kembata Tembaro,711,355.5
North Gondar,Konso,972,486
North Gondar,Silte,540,270
North Gondar,South Omo,382,191
North Gondar,Wolayita,692,346
North Gondar,Afder,531,265.5
North Gondar,Dollo,525,262.5
North Gondar,Erer,231,115.5
North Gondar,Fafan,867,433.5
North Gondar,Jarar,238,119
North Gondar,Korahe,934,467
North Gondar,Liben,63,31.5
North Gondar,Nogob,121,60.5
North Gondar,Shabelle,141,70.5
North Gondar,Sitti,336,168
North Gondar,Central,635,317.5
North Gondar,Eastern,309,154.5
North Gondar,North Western,237,118.5
North Gondar,Southern,388,194
North Gondar,Western,222,111
North Gondar,South Eastern,845,422.5
North Gondar,Mekelle,903,451.5
North Shewa,North Wollo,923,461.5
North Shewa,Oromia Special Zone,113,56.5
North Shewa,South Gondar,50,25
North Shewa,South Wollo,737,368.5
North Shewa,Wag Hemra,180,90
North Shewa,West Gojjam,339,169.5
North Shewa,Assosa,923,461.5
North Shewa,Kamashi,187,93.5
North Shewa,Metekel,67,33.5
North Shewa,Mao-Komo Special,599,299.5
North Shewa,Dire Dawa City Administration,320,160
North Shewa,Anywaa,744,372
North Shewa,Majang,786,393
North Shewa,Nuer,673,336.5
North Shewa,Itang Special,289,144.5
North Shewa,Harari Regional State,643,321.5
North Shewa,Arsi,248,124
North Shewa,Bale,551,275.5
North Shewa,Borena,768,384
North Shewa,Buno Bedele,665,332.5
North Shewa,East Bale,533,266.5
North Shewa,East Guji,507,253.5
North Shewa,East Hararghe,597,298.5
North Shewa,East Shewa,280,140
North Shewa,East Wellega,139,69.5
North Shewa,Horo Guduru Wellega,580,290
North Shewa,Illubabor,123,61.5
North Shewa,Jimma,388,194
North Shewa,Kellem Wellega,233,116.5
North Shewa,North Shewa,394,197
North Shewa,Southwest Shewa,925,462.5
North Shewa,West Arsi,337,168.5
North Shewa,West Guji,659,329.5
North Shewa,West Hararghe,370,185
North Shewa,West Shewa,245,122.5
North Shewa,West Wellega,287,143.5
North Shewa,Aleta Chuko,95,47.5
North Shewa,Aleta Wondo,985,492.5
North Shewa,Aroresa,732,366
North Shewa,Bensa,529,264.5
North Shewa,Bona,936,468
North Shewa,Bursa,509,254.5
North Shewa,Dale,654,327
North Shewa,Dara,687,343.5
North Shewa,Gorche,512,256
North Shewa,Hawassa Zuria,809,404.5
North Shewa,Loka Abaya,239,119.5
North Shewa,Malga,642,321
North Shewa,Shebedino,166,83
North Shewa,Wondo Genet,788,394
North Shewa,Wonsho,182,91
North Shewa,Gamo,538,269
North Shewa,Gedeo,425,212.5
North Shewa,Gofa,653,326.5
North Shewa,Hadiya,907,453.5
North Shewa,Halaba,124,62
North Shewa,Kembata Tembaro,256,128
North Shewa,Konso,251,125.5
North Shewa,Silte,644,322
North Shewa,South Omo,969,484.5
North Shewa,Wolayita,65,32.5
North Shewa,Afder,283,141.5
North Shewa,Dollo,771,385.5
North Shewa,Erer,367,183.5
North Shewa,Fafan,149,74.5
North Shewa,Jarar,322,161
North Shewa,Korahe,982,491
North Shewa,Liben,999,499.5
North Shewa,Nogob,320,160
North Shewa,Shabelle,961,480.5
North Shewa,Sitti,103,51.5
North Shewa,Central,886,443
North Shewa,Eastern,201,100.5
North Shewa,North Western,304,152
North Shewa,Southern,623,311.5
North Shewa,Western,959,479.5
North Shewa,South Eastern,138,69
North Shewa,Mekelle,674,337
North Wollo,Oromia Special Zone,927,463.5
North Wollo,South Gondar,772,386
North Wollo,South Wollo,839,419.5
North Wollo,Wag Hemra,383,191.5
North Wollo,West Gojjam,589,294.5
North Wollo,Assosa,206,103
North Wollo,Kamashi,383,191.5
North Wollo,Metekel,996,498
North Wollo,Mao-Komo Special,896,448
North Wollo,Dire Dawa City Administration,397,198.5
North Wollo,Anywaa,541,270.5
North Wollo,Majang,759,379.5
North Wollo,Nuer,286,143
North Wollo,Itang Special,316,158
North Wollo,Harari Regional State,549,274.5
North Wollo,Arsi,972,486
North Wollo,Bale,310,155
North Wollo,Borena,638,319
North Wollo,Buno Bedele,232,116
North Wollo,East Bale,463,231.5
North Wollo,East Guji,976,488
North Wollo,East Hararghe,72,36
North Wollo,East Shewa,105,52.5
North Wollo,East Wellega,730,365
North Wollo,Horo Guduru Wellega,161,80.5
North Wollo,Illubabor,445,222.5
North Wollo,Jimma,209,104.5
North Wollo,Kellem Wellega,167,83.5
North Wollo,North Shewa,664,332
North Wollo,Southwest Shewa,786,393
North Wollo,West Arsi,486,243
North Wollo,West Guji,341,170.5
North Wollo,West Hararghe,328,164
North Wollo,West Shewa,430,215
North Wollo,West Wellega,668,334
North Wollo,Aleta Chuko,344,172
North Wollo,Aleta Wondo,737,368.5
North Wollo,Aroresa,146,73
North Wollo,Bensa,129,64.5
North Wollo,Bona,282,141
North Wollo,Bursa,875,437.5
North Wollo,Dale,979,489.5
North Wollo,Dara,352,176
North Wollo,Gorche,507,253.5
North Wollo,Hawassa Zuria,727,363.5
North Wollo,Loka Abaya,333,166.5
North Wollo,Malga,602,301
North Wollo,Shebedino,569,284.5
North Wollo,Wondo Genet,673,336.5
North Wollo,Wonsho,928,464
North Wollo,Gamo,681,340.5
North Wollo,Gedeo,158,79
North Wollo,Gofa,964,482
North Wollo,Hadiya,905,452.5
North Wollo,Halaba,78,39
North Wollo,Kembata Tembaro,141,70.5
North Wollo,Konso,600,300
North Wollo,Silte,881,440.5
North Wollo,South Omo,481,240.5
North Wollo,Wolayita,837,418.5
North Wollo,Afder,978,489
North Wollo,Dollo,376,188
North Wollo,Erer,402,201
North Wollo,Fafan,146,73
North Wollo,Jarar,797,398.5
North Wollo,Korahe,344,172
North Wollo,Liben,796,398
North Wollo,Nogob,157,78.5
North Wollo,Shabelle,139,69.5
North Wollo,Sitti,849,424.5
North Wollo,Central,317,158.5
North Wollo,Eastern,399,199.5
North Wollo,North Western,676,338
North Wollo,Southern,719,359.5
North Wollo,Western,612,306
North Wollo,South Eastern,280,140
North Wollo,Mekelle,918,459
Oromia Special Zone,South Gondar,676,338
Oromia Special Zone,South Wollo,855,427.5
Oromia Special Zone,Wag Hemra,402,201
Oromia Special Zone,West Gojjam,893,446.5
Oromia Special Zone,Assosa,878,439
Oromia Special Zone,Kamashi,989,494.5
Oromia Special Zone,Metekel,622,311
Oromia Special Zone,Mao-Komo Special,216,108
Oromia Special Zone,Dire Dawa City Administration,685,342.5
Oromia Special Zone,Anywaa,882,441
Oromia Special Zone,Majang,212,106
Oromia Special Zone,Nuer,948,474
Oromia Special Zone,Itang Special,928,464
Oromia Special Zone,Harari Regional State,520,260
Oromia Special Zone,Arsi,591,295.5
Oromia Special Zone,Bale,985,492.5
Oromia Special Zone,Borena,351,175.5
Oromia Special Zone,Buno Bedele,395,197.5
Oromia Special Zone,East Bale,528,264
Oromia Special Zone,East Guji,247,123.5
Oromia Special Zone,East Hararghe,775,387.5
Oromia Special Zone,East Shewa,705,352.5
Oromia Special Zone,East Wellega,691,345.5
Oromia Special Zone,Horo Guduru Wellega,711,355.5
Oromia Special Zone,Illubabor,161,80.5
Oromia Special Zone,Jimma,206,103
Oromia Special Zone,Kellem Wellega,987,493.5
Oromia Special Zone,North Shewa,907,453.5
Oromia Special Zone,Southwest Shewa,102,51
Oromia Special Zone,West Arsi,381,190.5
Oromia Special Zone,West Guji,150,75
Oromia Special Zone,West Hararghe,389,194.5
Oromia Special Zone,West Shewa,138,69
Oromia Special Zone,West Wellega,779,389.5
Oromia Special Zone,Aleta Chuko,418,209
Oromia Special Zone,Aleta Wondo,193,96.5
Oromia Special Zone,Aroresa,780,390
Oromia Special Zone,Bensa,587,293.5
Oromia Special Zone,Bona,642,321
Oromia Special Zone,Bursa,266,133
Oromia Special Zone,Dale,186,93
Oromia Special Zone,Dara,995,497.5
Oromia Special Zone,Gorche,230,115
Oromia Special Zone,Hawassa Zuria,310,155
Oromia Special Zone,Loka Abaya,433,216.5
Oromia Special Zone,Malga,906,453
Oromia Special Zone,Shebedino,268,134
Oromia Special Zone,Wondo Genet,971,485.5
Oromia Special Zone,Wonsho,399,199.5
Oromia Special Zone,Gamo,105,52.5
Oromia Special Zone,Gedeo,542,271
Oromia Special Zone,Gofa,60,30
Oromia Special Zone,Hadiya,164,82
Oromia Special Zone,Halaba,712,356
Oromia Special Zone,Kembata Tembaro,414,207
Oromia Special Zone,Konso,339,169.5
Oromia Special Zone,Silte,662,331
Oromia Special Zone,South Omo,250,125
Oromia Special Zone,Wolayita,521,260.5
Oromia Special Zone,Afder,827,413.5
Oromia Special Zone,Dollo,935,467.5
Oromia Special Zone,Erer,103,51.5
Oromia Special Zone,Fafan,563,281.5
Oromia Special Zone,Jarar,81,40.5
Oromia Special Zone,Korahe,633,316.5
Oromia Special Zone,Liben,392,196
Oromia Special Zone,Nogob,235,117.5
Oromia Special Zone,Shabelle,779,389.5
Oromia Special Zone,Sitti,105,52.5
Oromia Special Zone,Central,157,78.5
Oromia Special Zone,Eastern,636,318
Oromia Special Zone,North Western,962,481
Oromia Special Zone,Southern,386,193
Oromia Special Zone,Western,111,55.5
Oromia Special Zone,South Eastern,738,369
Oromia Special Zone,Mekelle,470,235
South Gondar,South Wollo,439,219.5
South Gondar,Wag Hemra,926,463
South Gondar,West Gojjam,927,463.5
South Gondar,Assosa,111,55.5
South Gondar,Kamashi,219,109.5
South Gondar,Metekel,723,361.5
South Gondar,Mao-Komo Special,606,303
South Gondar,Dire Dawa City Administration,788,394
South Gondar,Anywaa,566,283
South Gondar,Majang,200,100
South Gondar,Nuer,187,93.5
South Gondar,Itang Special,974,487
South Gondar,Harari Regional State,217,108.5
South Gondar,Arsi,694,347
South Gondar,Bale,833,416.5
South Gondar,Borena,632,316
South Gondar,Buno Bedele,89,44.5
South Gondar,East Bale,493,246.5
South Gondar,East Guji,970,485
South Gondar,East Hararghe,356,178
South Gondar,East Shewa,353,176.5
South Gondar,East Wellega,730,365
South Gondar,Horo Guduru Wellega,103,51.5
South Gondar,Illubabor,317,158.5
South Gondar,Jimma,150,75
South Gondar,Kellem Wellega,561,280.5
South Gondar,North Shewa,701,350.5
South Gondar,Southwest Shewa,707,353.5
South Gondar,West Arsi,172,86
South Gondar,West Guji,689,344.5
South Gondar,West Hararghe,209,104.5
South Gondar,West Shewa,555,277.5
South Gondar,West Wellega,944,472
South Gondar,Aleta Chuko,85,42.5
South Gondar,Aleta Wondo,366,183
South Gondar,Aroresa,272,136
South Gondar,Bensa,388,194
South Gondar,Bona,123,61.5
South Gondar,Bursa,304,152
South Gondar,Dale,221,110.5
South Gondar,Dara,232,116
South Gondar,Gorche,911,455.5
South Gondar,Hawassa Zuria,190,95
South Gondar,Loka Abaya,95,47.5
South Gondar,Malga,229,114.5
South Gondar,Shebedino,76,38
South Gondar,Wondo Genet,214,107
South Gondar,Wonsho,567,283.5
South Gondar,Gamo,429,214.5
South Gondar,Gedeo,753,376.5
South Gondar,Gofa,675,337.5
South Gondar,Hadiya,904,452
South Gondar,Halaba,495,247.5
South Gondar,Kembata Tembaro,283,141.5
South Gondar,Konso,95,47.5
South Gondar,Silte,501,250.5
South Gondar,South Omo,620,310
South Gondar,Wolayita,262,131
South Gondar,Afder,651,325.5
South Gondar,Dollo,143,71.5
South Gondar,Erer,99,49.5
South Gondar,Fafan,250,125
South Gondar,Jarar,826,413
South Gondar,Korahe,159,79.5
South Gondar,Liben,185,92.5
South Gondar,Nogob,994,497
South Gondar,Shabelle,218,109
South Gondar,Sitti,92,46
South Gondar,Central,360,180
South Gondar,Eastern,179,89.5
South Gondar,North Western,215,107.5
South Gondar,Southern,404,202
South Gondar,Western,242,121
South Gondar,South Eastern,255,127.5
South Gondar,Mekelle,692,346
South Wollo,Wag Hemra,915,457.5
South Wollo,West Gojjam,559,279.5
South Wollo,Assosa,375,187.5
South Wollo,Kamashi,571,285.5
South Wollo,Metekel,183,91.5
South Wollo,Mao-Komo Special,244,122
South Wollo,Dire Dawa City Administration,872,436
South Wollo,Anywaa,173,86.5
South Wollo,Majang,748,374
South Wollo,Nuer,498,249
South Wollo,Itang Special,69,34.5
South Wollo,Harari Regional State,237,118.5
South Wollo,Arsi,932,466
South Wollo,Bale,758,379
South Wollo,Borena,472,236
South Wollo,Buno Bedele,530,265
South Wollo,East Bale,786,393
South Wollo,East Guji,401,200.5
South Wollo,East Hararghe,296,148
South Wollo,East Shewa,369,184.5
South Wollo,East Wellega,232,116
South Wollo,Horo Guduru Wellega,966,483
South Wollo,Illubabor,378,189
South Wollo,Jimma,430,215
South Wollo,Kellem Wellega,312,156
South Wollo,North Shewa,408,204
South Wollo,Southwest Shewa,182,91
South Wollo,West Arsi,399,199.5
South Wollo,West Guji,132,66
South Wollo,West Hararghe,981,490.5
South Wollo,West Shewa,793,396.5
South Wollo,West Wellega,373,186.5
South Wollo,Aleta Chuko,416,208
South Wollo,Aleta Wondo,247,123.5
South Wollo,Aroresa,396,198
South Wollo,Bensa,936,468
South Wollo,Bona,73,36.5
South Wollo,Bursa,500,250
South Wollo,Dale,934,467
South Wollo,Dara,787,393.5
South Wollo,Gorche,862,431
South Wollo,Hawassa Zuria,621,310.5
South Wollo,Loka Abaya,856,428
South Wollo,Malga,548,274
South Wollo,Shebedino,183,91.5
South Wollo,Wondo Genet,949,474.5
South Wollo,Wonsho,802,401
South Wollo,Gamo,398,199
South Wollo,Gedeo,725,362.5
South Wollo,Gofa,492,246
South Wollo,Hadiya,439,219.5
South Wollo,Halaba,731,365.5
South Wollo,Kembata Tembaro,678,339
South Wollo,Konso,574,287
South Wollo,Silte,493,246.5
South Wollo,South Omo,199,99.5
South Wollo,Wolayita,663,331.5
South Wollo,Afder,801,400.5
South Wollo,Dollo,860,430
South Wollo,Erer,217,108.5
South Wollo,Fafan,778,389
South Wollo,Jarar,972,486
South Wollo,Korahe,446,223
South Wollo,Liben,503,251.5
South Wollo,Nogob,231,115.5
South Wollo,Shabelle,398,199
South Wollo,Sitti,954,477
South Wollo,Central,656,328
South Wollo,Eastern,930,465
South Wollo,North Western,63,31.5
South Wollo,Southern,142,71
South Wollo,Western,581,290.5
South Wollo,South Eastern,575,287.5
South Wollo,Mekelle,415,207.5
Wag Hemra,West Gojjam,747,373.5
Wag Hemra,Assosa,257,128.5
Wag Hemra,Kamashi,971,485.5
Wag Hemra,Metekel,151,75.5
Wag Hemra,Mao-Komo Special,889,444.5
Wag Hemra,Dire Dawa City Administration,303,151.5
Wag Hemra,Anywaa,71,35.5
Wag Hemra,Majang,79,39.5
Wag Hemra,Nuer,340,170
Wag Hemra,Itang Special,245,122.5
Wag Hemra,Harari Regional State,210,105
Wag Hemra,Arsi,62,31
Wag Hemra,Bale,611,305.5
Wag Hemra,Borena,714,357
Wag Hemra,Buno Bedele,825,412.5
Wag Hemra,East Bale,270,135
Wag Hemra,East Guji,951,475.5
Wag Hemra,East Hararghe,675,337.5
Wag Hemra,East Shewa,502,251
Wag Hemra,East Wellega,813,406.5
Wag Hemra,Horo Guduru Wellega,654,327
Wag Hemra,Illubabor,107,53.5
Wag Hemra,Jimma,423,211.5
Wag Hemra,Kellem Wellega,182,91
Wag Hemra,North Shewa,218,109
Wag Hemra,Southwest Shewa,939,469.5
Wag Hemra,West Arsi,536,268
Wag Hemra,West Guji,434,217
Wag Hemra,West Hararghe,355,177.5
Wag Hemra,West Shewa,81,40.5
Wag Hemra,West Wellega,934,467
Wag Hemra,Aleta Chuko,409,204.5
Wag Hemra,Aleta Wondo,981,490.5
Wag Hemra,Aroresa,142,71
Wag Hemra,Bensa,826,413
Wag Hemra,Bona,894,447
Wag Hemra,Bursa,903,451.5
Wag Hemra,Dale,760,380
Wag Hemra,Dara,92,46
Wag Hemra,Gorche,972,486
Wag Hemra,Hawassa Zuria,575,287.5
Wag Hemra,Loka Abaya,851,425.5
Wag Hemra,Malga,558,279
Wag Hemra,Shebedino,98,49
Wag Hemra,Wondo Genet,708,354
Wag Hemra,Wonsho,96,48
Wag Hemra,Gamo,81,40.5
Wag Hemra,Gedeo,680,340
Wag Hemra,Gofa,386,193
Wag Hemra,Hadiya,670,335
Wag Hemra,Halaba,691,345.5
Wag Hemra,Kembata Tembaro,759,379.5
Wag Hemra,Konso,396,198
Wag Hemra,Silte,932,466
Wag Hemra,South Omo,143,71.5
Wag Hemra,Wolayita,129,64.5
Wag Hemra,Afder,312,156
Wag Hemra,Dollo,76,38
Wag Hemra,Erer,609,304.5
Wag Hemra,Fafan,634,317
Wag Hemra,Jarar,369,184.5
Wag Hemra,Korahe,769,384.5
Wag Hemra,Liben,657,328.5
Wag Hemra,Nogob,785,392.5
Wag Hemra,Shabelle,850,425
Wag Hemra,Sitti,991,495.5
Wag Hemra,Central,576,288
Wag Hemra,Eastern,794,397
Wag Hemra,North Western,266,133
Wag Hemra,Southern,728,364
Wag Hemra,Western,597,298.5
Wag Hemra,South Eastern,923,461.5
Wag Hemra,Mekelle,662,331
West Gojjam,Assosa,919,459.5
West Gojjam,Kamashi,590,295
West Gojjam,Metekel,111,55.5
West Gojjam,Mao-Komo Special,569,284.5
West Gojjam,Dire Dawa City Administration,153,76.5
West Gojjam,Anywaa,808,404
West Gojjam,Majang,745,372.5
West Gojjam,Nuer,83,41.5
West Gojjam,Itang Special,859,429.5
West Gojjam,Harari Regional State,155,77.5
West Gojjam,Arsi,439,219.5
West Gojjam,Bale,597,298.5
West Gojjam,Borena,284,142
West Gojjam,Buno Bedele,814,407
West Gojjam,East Bale,821,410.5
West Gojjam,East Guji,983,491.5
West Gojjam,East Hararghe,731,365.5
West Gojjam,East Shewa,923,461.5
West Gojjam,East Wellega,66,33
West Gojjam,Horo Guduru Wellega,386,193
West Gojjam,Illubabor,837,418.5
West Gojjam,Jimma,937,468.5
West Gojjam,Kellem Wellega,998,499
West Gojjam,North Shewa,178,89
West Gojjam,Southwest Shewa,440,220
West Gojjam,West Arsi,159,79.5
West Gojjam,West Guji,799,399.5
West Gojjam,West Hararghe,242,121
West Gojjam,West Shewa,849,424.5
West Gojjam,West Wellega,777,388.5
West Gojjam,Aleta Chuko,418,209
West Gojjam,Aleta Wondo,657,328.5
West Gojjam,Aroresa,103,51.5
West Gojjam,Bensa,876,438
West Gojjam,Bona,415,207.5
West Gojjam,Bursa,857,428.5
West Gojjam,Dale,836,418
West Gojjam,Dara,120,60
West Gojjam,Gorche,354,177
West Gojjam,Hawassa Zuria,550,275
West Gojjam,Loka Abaya,90,45
West Gojjam,Malga,796,398
West Gojjam,Shebedino,123,61.5
West Gojjam,Wondo Genet,167,83.5
West Gojjam,Wonsho,65,32.5
West Gojjam,Gamo,647,323.5
West Gojjam,Gedeo,764,382
West Gojjam,Gofa,284,142
West Gojjam,Hadiya,917,458.5
West Gojjam,Halaba,992,496
West Gojjam,Kembata Tembaro,570,285
West Gojjam,Konso,818,409
West Gojjam,Silte,121,60.5
West Gojjam,South Omo,488,244
West Gojjam,Wolayita,729,364.5
West Gojjam,Afder,284,142
West Gojjam,Dollo,256,128
West Gojjam,Erer,779,389.5
West Gojjam,Fafan,962,481
West Gojjam,Jarar,379,189.5
West Gojjam,Korahe,630,315
West Gojjam,Liben,876,438
West Gojjam,Nogob,930,465
West Gojjam,Shabelle,674,337
West Gojjam,Sitti,101,50.5
West Gojjam,Central,795,397.5
West Gojjam,Eastern,91,45.5
West Gojjam,North Western,766,383
West Gojjam,Southern,443,221.5
West Gojjam,Western,149,74.5
West Gojjam,South Eastern,795,397.5
West Gojjam,Mekelle,820,410
Assosa,Kamashi,509,254.5
Assosa,Metekel,914,457
Assosa,Mao-Komo Special,546,273
Assosa,Dire Dawa City Administration,956,478
Assosa,Anywaa,465,232.5
Assosa,Majang,128,64
Assosa,Nuer,870,435
Assosa,Itang Special,685,342.5
Assosa,Harari Regional State,683,341.5
